file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,file,vowel,F1,F2,F3
biseach-2,i,338.3547971,1696.498701,2737.918115,biseach-2,a,905.8671163,2205.901919,3331.465339,biseach-2,i,365.8259151,1549.368066,2586.894884,biseach-2,ə,526.5146575,1308.998046,2586.815515
biseach-3,i,352.4254729,1442.591338,2593.447518,biseach-3,a,466.1322454,1320.395697,2674.181307,biseach-3,i,396.6271654,1614.435356,2722.819921,biseach-3,ə,488.2538867,1335.625498,2543.13929
biseach-4,i,391.9915011,1362.677771,2704.323655,biseach-4,a,675.7791251,1625.431262,2711.890626,biseach-4,i,433.532271,1692.299263,3130.375857,biseach-4,ə,621.7274782,1706.825672,2736.664319
biseach-5,i,396.2523019,1555.417857,2635.946595,biseach-5,a,593.1269171,1605.818175,2663.812304,biseach-5,i,409.9962225,1677.06629,3015.513538,biseach-5,ə,641.7587589,1615.869668,2832.103035
biseach-6,i,381.4440949,1548.104501,2775.580409,biseach-6,a,826.3501807,2017.111217,2873.346778,biseach-6,i,375.3975692,1436.237759,2749.621496,biseach-6,ə,667.4235352,1648.529604,2753.832381
biseach,i,360.1027106,1547.193666,2843.566301,biseach,a,499.2133406,1427.671879,2254.485376,biseach,i,339.8016028,1674.737515,2747.417514,biseach,ə,496.0698023,1322.213595,2628.261178
caaca-2,a,528.0250767,1318.181652,2735.398902,caaca-2,ə,472.6719975,1232.114133,2736.324082,caaca-2,a:,572.5972415,1132.483517,2399.666415,caaca-2,ə,312.0396962,1212.837828,2673.766555
caaca-3,a,686.986582,1529.433963,2573.179493,caaca-3,ə,433.6185936,1427.775286,2758.959793,caaca-3,a:,710.4076308,1597.681911,2712.685893,caaca-3,ə,517.2297418,1632.109487,2902.465381
caaca,a,579.9370467,1134.660274,2447.040766,caaca,ə,482.8657354,1248.150033,2840.440651,caaca,a:,547.8205183,1194.440824,2318.64487,caaca,ə,352.1780345,1242.389694,2861.852358
cachpa-2,a,669.887753,1393.948128,2547.292369,cachpa-2,ə,810.4909551,1850.050497,2902.129324,cachpa-2,a,750.843179,1392.588598,2389.756052,cachpa-2,ə,584.0319165,1507.390367,2809.668905
cachpa-3,a,647.9413289,1608.510599,2658.816446,cachpa-3,ə,784.9871814,1867.029056,3098.532827,cachpa-3,a,591.9154031,1521.232075,2763.100517,cachpa-3,ə,547.4870389,1430.591786,2806.918051
cachpa,a,672.764838,1655.556918,2711.700421,cachpa,ə,539.8751593,1335.618099,2780.821121,cachpa,a,591.918301,1579.300742,2790.024253,cachpa,ə,508.967398,1316.028739,2748.826161
cachta-2,a,741.1183706,1715.683224,3038.759993,cachta-2,ə,654.6075968,1660.131245,2786.90057,cachta-2,a,687.0762169,1659.928743,2746.485299,cachta-2,ə,393.7362797,1462.404497,2864.63967
cachta-3,a,652.7571859,1248.113828,2603.360634,cachta-3,ə,392.117577,1505.735077,2733.419077,cachta-3,a,697.2565362,1791.680721,2671.538553,cachta-3,ə,448.9498441,1403.435388,2780.954243
cachta,a,782.00955,1617.893999,2844.785512,cachta,ə,485.0437258,1334.104919,2867.617775,cachta,a,650.7307573,1579.24928,2871.910998,cachta,ə,456.5043166,1303.772807,2829.703737
cachtach-2,a,666.053638,1483.339727,2671.134597,cachtach-2,ə,543.2570779,1453.655969,2577.812043,cachtach-2,a,795.4553963,1733.845187,2772.963344,cachtach-2,ə,671.8148694,1865.587596,3149.286398
cachtach-3,a,741.1288121,1460.77552,2831.637667,cachtach-3,ə,646.0490861,1665.936541,2852.493401,cachtach-3,a,731.0813109,1616.884072,2793.233296,cachtach-3,ə,575.0398024,1349.927264,2691.800244
