file,shape,vowel,dur_norm,F1,F2,F3,frame,syllable,stress
baxtə-4.TextGrid,CaxCV,a,130.2631579,744.4433389,1749.758245,2943.367575,2,1,1
baxtə-4.TextGrid,CaxCV,ə,157.8947368,670.9503847,1742.472177,2937.231762,2,2,0
baxtəx.TextGrid,CaxCax,a,,746.39014,1604.841086,2788.465656,1,1,1
baxtəx.TextGrid,CaxCax,ə,,528.1281437,1588.804712,2855.022596,1,2,0
baxtəx.TextGrid,CaxCax,a,,647.0839308,1173.340638,2837.487169,2,1,1
baxtəx.TextGrid,CaxCax,ə,,499.7792284,1446.054495,2308.538013,2,2,0
baxtəx-2.TextGrid,CaxCax,a,103.9387309,710.9841844,1317.68751,2460.218052,1,1,1
baxtəx-2.TextGrid,CaxCax,ə,97.37417943,517.903888,1280.781151,2711.024996,1,2,0
baxtəx-2.TextGrid,CaxCax,a,114.7368421,690.3959561,1366.360018,2518.362419,2,1,1
baxtəx-2.TextGrid,CaxCax,ə,75.78947368,576.6654298,1419.439331,2807.306687,2,2,0
baxtəx-3.TextGrid,CaxCax,a,119.5779601,752.2218932,1506.958943,2688.888708,1,1,1
baxtəx-3.TextGrid,CaxCax,ə,99.64830012,711.2273041,1597.92471,2669.456682,1,2,0
baxtəx-3.TextGrid,CaxCax,a,138.1889764,749.5886914,1679.470163,2862.522572,2,1,1
baxtəx-3.TextGrid,CaxCax,ə,82.67716535,575.6511641,1294.401196,2662.237759,2,2,0
baxto.TextGrid,CaxCV,a,123.1884058,653.0253182,1461.84703,2622.489139,1,1,1
baxto.TextGrid,CaxCV,o,335.7487923,486.2345251,1311.999715,2693.715066,1,2,0
baxto.TextGrid,CaxCV,a,112.6482213,697.31652,1534.032762,2567.665257,2,1,1
baxto.TextGrid,CaxCV,o,341.5019763,438.7483723,1264.374008,2640.669197,2,2,0
baxto-2.TextGrid,CaxCV,a,72.29894395,781.7101911,1559.572065,2762.337939,1,1,1
baxto-2.TextGrid,CaxCV,o,198.2128351,446.7531132,1180.757143,2574.927059,1,2,0
baxto-2.TextGrid,CaxCV,a,91.15384615,698.7987232,1596.290622,2739.081386,2,1,1
baxto-2.TextGrid,CaxCV,o,225,473.6018548,1190.79659,2779.744643,2,2,0
baxtu:.TextGrid,CaxCV:,a,100.2066116,673.4026548,1375.859621,2706.672559,1,1,0
baxtu:.TextGrid,CaxCV:,u:,304.7520661,343.145946,1102.559388,2901.513115,1,2,1
baxtu:.TextGrid,CaxCV:,a,87.30650155,589.448946,1378.083268,2668.343542,2,1,0
baxtu:.TextGrid,CaxCV:,u:,183.9009288,357.9932013,1043.657269,2987.151986,2,2,1
baxtu:-2.TextGrid,CaxCV:,a,84.7107438,678.5988299,1427.742326,2758.848626,1,1,0
baxtu:-2.TextGrid,CaxCV:,u:,259.2975207,370.9091031,1225.069901,2756.57304,1,2,1
baxtu:-2.TextGrid,CaxCV:,a,114.2307692,700.4561352,1599.275403,2723.157099,2,1,0
baxtu:-2.TextGrid,CaxCV:,u:,244.6153846,383.627284,1252.135754,2741.025575,2,2,1
baxtu:-3.TextGrid,CaxCV:,a,113.1868132,710.617152,1391.051417,2626.392178,1,1,0
baxtu:-3.TextGrid,CaxCV:,u:,273.6263736,403.393293,1260.846146,2818.442719,1,2,1
baxtu:-3.TextGrid,CaxCV:,a,123.8095238,609.6426426,1565.083528,2739.294096,2,1,0
baxtu:-3.TextGrid,CaxCV:,u:,289.2857143,396.7184352,1372.983269,2529.432638,2,2,1
bəkax.TextGrid,CVCax,ə,38.25136612,491.1594478,1100.497805,2525.312349,1,1,0
bəkax.TextGrid,CVCax,a,165.0273224,520.9023632,1299.71061,2635.604843,1,2,1
bəkax.TextGrid,CVCax,ə,35.49618321,423.9718618,1316.184483,2920.992968,2,1,0
bəkax.TextGrid,CVCax,a,155.7251908,630.606388,1418.324597,2550.246285,2,2,1
bekax-2.TextGrid,CVCax,ə,47.94520548,515.1308127,1311.159458,2450.279483,1,1,0
bekax-2.TextGrid,CVCax,a,103.8812785,569.390245,1313.116969,2611.297516,1,2,1
bekax-2.TextGrid,CVCax,ə,36.8852459,334.9570698,1151.983403,2892.298929,2,1,0
bekax-2.TextGrid,CVCax,a,154.9180328,602.9891386,1402.028108,2591.176586,2,2,1
bəkax-3.TextGrid,CVCax,ə,39.76721629,496.885588,1297.409058,2733.795304,1,1,0
bəkax-3.TextGrid,CVCax,a,117.3617847,725.7511686,1512.535296,2734.216123,1,2,1
bəkax-3.TextGrid,CVCax,ə,30.73770492,407.8767769,1249.669363,2602.963119,2,1,0
bəkax-3.TextGrid,CVCax,a,180.7377049,616.8234724,1479.708421,2649.485364,2,2,1
bəkax-4.TextGrid,CVCax,ə,39.12543153,455.913564,1326.256412,2832.973957,1,1,0
bəkax-4.TextGrid,CVCax,a,182.9689298,693.4064857,1448.110175,2696.272172,1,2,1
bəkax-4.TextGrid,CVCax,ə,39.17910448,326.7149955,1233.902252,2482.879971,2,1,0
bəkax-4.TextGrid,CVCax,a,105.2238806,616.7458278,1425.546942,2270.821609,2,2,1
bəkax-5.TextGrid,CVCax,ə,28.60061287,455.4374601,1308.000758,2908.182199,1,1,0
bəkax-5.TextGrid,CVCax,a,136.8743616,614.441536,1337.094716,2562.755049,1,2,1
bəkax-5.TextGrid,CVCax,ə,35.51020408,422.5326784,1318.869292,2760.776369,2,1,0
bəkax-5.TextGrid,CVCax,a,168.9795918,651.474676,1582.372116,2950.596026,2,2,1
bəkax-6.TextGrid,CVCax,ə,64.97797357,463.153457,1254.698808,2462.288388,1,1,0
bəkax-6.TextGrid,CVCax,a,159.69163,639.7171436,1399.389734,2692.285635,1,2,1
bəkax-6.TextGrid,CVCax,ə,44.2804428,355.5292119,1150.097208,2655.746498,2,1,0
bəkax-6.TextGrid,CVCax,a,138.3763838,584.1725048,1326.851762,2594.251575,2,2,1
biʃəx.TextGrid,CVCax,i,124.6169561,360.1027106,1547.193666,2843.566301,1,1,0
biʃəx.TextGrid,CVCax,ə,33.70786517,499.2133406,1427.671879,2254.485376,1,2,1
biʃəx.TextGrid,CVCax,i,125.7692308,339.8016028,1674.737515,2747.417514,2,1,0
biʃəx.TextGrid,CVCax,ə,41.53846154,496.0698023,1322.213595,2628.261178,2,2,1
biʃəx-2.TextGrid,CVCax,i,119.1536748,338.3547971,1696.498701,2737.918115,1,1,0
biʃəx-2.TextGrid,CVCax,ə,44.54342984,905.8671163,2205.901919,3331.465339,1,2,1
biʃəx-2.TextGrid,CVCax,i,132.2727273,365.8259151,1549.368066,2586.894884,2,1,0
biʃəx-2.TextGrid,CVCax,ə,77.72727273,526.5146575,1308.998046,2586.815515,2,2,1
biʃəx-3.TextGrid,CVCax,i,114.0552995,352.4254729,1442.591338,2593.447518,1,1,0
biʃəx-3.TextGrid,CVCax,ə,46.08294931,466.1322454,1320.395697,2674.181307,1,2,1
biʃəx-3.TextGrid,CVCax,i,128.4132841,396.6271654,1614.435356,2722.819921,2,1,0
biʃəx-3.TextGrid,CVCax,ə,37.63837638,488.2538867,1335.625498,2543.13929,2,2,1
biʃəx-4.TextGrid,CVCax,i,97.39524349,391.9915011,1362.677771,2704.323655,1,1,0
biʃəx-4.TextGrid,CVCax,ə,110.9852775,675.7791251,1625.431262,2711.890626,1,2,1
biʃəx-4.TextGrid,CVCax,i,64.74820144,433.532271,1692.299263,3130.375857,2,1,0
biʃəx-4.TextGrid,CVCax,ə,90.64748201,621.7274782,1706.825672,2736.664319,2,2,1
biʃəx-5.TextGrid,CVCax,i,88.41099164,396.2523019,1555.417857,2635.946595,1,1,0
biʃəx-5.TextGrid,CVCax,ə,83.63201912,593.1269171,1605.818175,2663.812304,1,2,1
biʃəx-5.TextGrid,CVCax,i,107.5697211,409.9962225,1677.06629,3015.513538,2,1,0
biʃəx-5.TextGrid,CVCax,ə,71.71314741,641.7587589,1615.869668,2832.103035,2,2,1
biʃəx-6.TextGrid,CVCax,i,95.68874869,381.4440949,1548.104501,2775.580409,1,1,0
biʃəx-6.TextGrid,CVCax,ə,67.29758149,826.3501807,2017.111217,2873.346778,1,2,1
biʃəx-6.TextGrid,CVCax,i,100.7142857,375.3975692,1436.237759,2749.621496,2,1,0
biʃəx-6.TextGrid,CVCax,ə,64.28571429,667.4235352,1648.529604,2753.832381,2,2,1
ca:cə.TextGrid,CV:CV,a:,157.5274177,579.9370467,1134.660274,2447.040766,1,1,1
ca:cə.TextGrid,CV:CV,ə,57.82652044,482.8657354,1248.150033,2840.440651,1,2,0
ca:cə.TextGrid,CV:CV,a:,174.9077491,547.8205183,1194.440824,2318.64487,2,1,1
ca:cə.TextGrid,CV:CV,ə,81.91881919,352.1780345,1242.389694,2861.852358,2,2,0
ca:cə-2.TextGrid,CV:CV,a:,176.8488746,528.0250767,1318.181652,2735.398902,1,1,1
ca:cə-2.TextGrid,CV:CV,ə,118.9710611,472.6719975,1232.114133,2736.324082,1,2,0
ca:cə-2.TextGri:,CV:CV,a:,209.8591549,572.5972415,1132.483517,2399.666415,2,1,1
ca:cə-2.TextGrid,CV:CV,ə,133.8028169,312.0396962,1212.837828,2673.766555,2,2,0
ca:cə-3.TextGrid,CV:CV,a:,155.3588987,686.986582,1529.433963,2573.179493,1,1,1
ca:cə-3.TextGrid,CV:CV,ə,129.7935103,433.6185936,1427.775286,2758.959793,1,2,0
ca:cə-3.TextGrid,CV:CV,a:,231.4285714,710.4076308,1597.681911,2712.685893,2,1,1
ca:cə-3.TextGrid,CV:CV,ə,142.8571429,517.2297418,1632.109487,2902.465381,2,2,0
catə.TextGrid,CVCV,a,61.72839506,408.2324927,1730.200904,2835.817979,1,1,1
catə.TextGrid,CVCV,ə,51.28205128,371.4439648,1805.917298,3094.937281,1,2,0
catə.TextGrid,CVCV,a,96.42857143,564.366401,1718.838619,2971.858516,2,1,1
catə.TextGrid,CVCV,ə,70.98214286,314.2740765,1760.70513,2676.746407,2,2,0
catə-2.TextGrid,CVCV,a,84.47937132,615.0707703,1797.127033,2942.720313,1,1,1
catə-2.TextGrid,CVCV,ə,81.5324165,342.8281495,1683.742275,3001.90906,1,2,0
catə-2.TextGrid,CVCV,a,89.28571429,478.5458497,1816.784148,2855.470739,2,1,1
catə-2.TextGrid,CVCV,ə,121.4285714,418.9547608,1788.389437,2927.797202,2,2,0
catə-3.TextGrid,CVCV,a,94.42870633,817.5548391,1959.471691,3046.682624,1,1,1
catə-3.TextGrid,CVCV,ə,121.8130312,509.5271034,1809.300661,2937.600871,1,2,0
catə-3.TextGrid,CVCV,a,167.5977654,600.8142671,1691.867974,2876.990225,2,1,1
catə-3.TextGrid,CVCV,ə,172.6256983,390.7912952,1494.022531,2742.481983,2,2,0
caxtəx.TextGrid,CaxCax,a,77.62557078,657.2013124,1497.824729,2637.141711,1,1,1
caxtəx.TextGrid,CaxCax,ə,70.77625571,,,,1,2,0
caxtəx.TextGrid,CaxCax,a,74.73684211,654.8799067,1443.582047,2942.084769,2,1,1
caxtəx.TextGrid,CaxCax,ə,85.26315789,518.8622888,1239.256111,2511.186153,2,2,0
caxtəx-2.TextGrid,CaxCax,a,107.5514874,666.053638,1483.339727,2671.134597,1,1,1
caxtəx-2.TextGrid,CaxCax,ə,59.49656751,543.2570779,1453.655969,2577.812043,1,2,0
caxtəx-2.TextGrid,CaxCax,a,109.375,795.4553963,1733.845187,2772.963344,2,1,1
caxtəx-2.TextGrid,CaxCax,ə,78.125,671.8148694,1865.587596,3149.286398,2,2,0
caxtəx-3.TextGrid,CaxCax,a,70.69672131,741.1288121,1460.77552,2831.637667,1,1,1
caxtəx-3.TextGrid,CaxCax,,,646.0490861,1665.936541,2852.493401,1,2,0
caxtəx-3.TextGrid,CaxCax,a,89.28571429,731.0813109,1616.884072,2793.233296,2,1,1
