file,shape,vowel,dur_norm,frame,syllable,stress
bekax-2.TextGrid,CVCax,ə,47.94520548,1,1,0
bekax-2.TextGrid,CVCax,a,103.8812785,1,2,1
bekax-2.TextGrid,CVCax,ə,36.8852459,2,1,0
bekax-2.TextGrid,CVCax,a,154.9180328,2,2,1
bəkax-3.TextGrid,CVCax,ə,39.76721629,1,1,0
bəkax-3.TextGrid,CVCax,a,117.3617847,1,2,1
bəkax-3.TextGrid,CVCax,ə,30.73770492,2,1,0
bəkax-3.TextGrid,CVCax,a,180.7377049,2,2,1
bəkax-4.TextGrid,CVCax,ə,39.12543153,1,1,0
bəkax-4.TextGrid,CVCax,a,182.9689298,1,2,1
bəkax-4.TextGrid,CVCax,ə,39.17910448,2,1,0
bəkax-4.TextGrid,CVCax,a,105.2238806,2,2,1
bəkax-5.TextGrid,CVCax,ə,28.60061287,1,1,0
bəkax-5.TextGrid,CVCax,a,136.8743616,1,2,1
bəkax-5.TextGrid,CVCax,ə,35.51020408,2,1,0
bəkax-5.TextGrid,CVCax,a,168.9795918,2,2,1
bəkax-6.TextGrid,CVCax,ə,64.97797357,1,1,0
bəkax-6.TextGrid,CVCax,a,159.69163,1,2,1
bəkax-6.TextGrid,CVCax,ə,44.2804428,2,1,0
bəkax-6.TextGrid,CVCax,a,138.3763838,2,2,1
biʃəx.TextGrid,CVCax,i,124.6169561,1,1,0
biʃəx.TextGrid,CVCax,ə,33.70786517,1,2,1
biʃəx.TextGrid,CVCax,i,125.7692308,2,1,0
biʃəx.TextGrid,CVCax,ə,41.53846154,2,2,1
biʃəx-2.TextGrid,CVCax,i,119.1536748,1,1,0
biʃəx-2.TextGrid,CVCax,ə,44.54342984,1,2,1
biʃəx-2.TextGrid,CVCax,i,132.2727273,2,1,0
biʃəx-2.TextGrid,CVCax,ə,77.72727273,2,2,1
biʃəx-3.TextGrid,CVCax,i,114.0552995,1,1,0
biʃəx-3.TextGrid,CVCax,ə,46.08294931,1,2,1
biʃəx-3.TextGrid,CVCax,i,128.4132841,2,1,0
biʃəx-3.TextGrid,CVCax,ə,37.63837638,2,2,1
biʃəx-4.TextGrid,CVCax,i,97.39524349,1,1,0
biʃəx-4.TextGrid,CVCax,ə,110.9852775,1,2,1
biʃəx-4.TextGrid,CVCax,i,64.74820144,2,1,0
biʃəx-4.TextGrid,CVCax,ə,90.64748201,2,2,1
biʃəx-5.TextGrid,CVCax,i,88.41099164,1,1,0
biʃəx-5.TextGrid,CVCax,ə,83.63201912,1,2,1
biʃəx-5.TextGrid,CVCax,i,107.5697211,2,1,0
biʃəx-5.TextGrid,CVCax,ə,71.71314741,2,2,1
biʃəx-6.TextGrid,CVCax,i,95.68874869,1,1,0
biʃəx-6.TextGrid,CVCax,ə,67.29758149,1,2,1
biʃəx-6.TextGrid,CVCax,i,100.7142857,2,1,0
biʃəx-6.TextGrid,CVCax,ə,64.28571429,2,2,1
caːcə.TextGrid,CVːCV,a:,157.5274177,1,1,1
caːcə.TextGrid,CVːCV,ə,57.82652044,1,2,0
caːcə.TextGrid,CVːCV,a:,174.9077491,2,1,1
caːcə.TextGrid,CVːCV,ə,81.91881919,2,2,0
caːcə-2.TextGrid,CVːCV,a:,176.8488746,1,1,1
caːcə-2.TextGrid,CVːCV,ə,118.9710611,1,2,0
caːcə-2.TextGrid,CVːCV,a:,209.8591549,2,1,1
caːcə-2.TextGrid,CVːCV,ə,133.8028169,2,2,0
caːcə-3.TextGrid,CVːCV,a:,155.3588987,1,1,1
caːcə-3.TextGrid,CVːCV,ə,129.7935103,1,2,0
caːcə-3.TextGrid,CVːCV,a:,231.4285714,2,1,1
caːcə-3.TextGrid,CVːCV,ə,142.8571429,2,2,0
catə.TextGrid,CVCV,a,61.72839506,1,1,1
catə.TextGrid,CVCV,ə,51.28205128,1,2,0
catə.TextGrid,CVCV,a,96.42857143,2,1,1
catə.TextGrid,CVCV,ə,70.98214286,2,2,0
catə-2.TextGrid,CVCV,a,84.47937132,1,1,1
catə-2.TextGrid,CVCV,ə,81.5324165,1,2,0
catə-2.TextGrid,CVCV,a,89.28571429,2,1,1
catə-2.TextGrid,CVCV,ə,121.4285714,2,2,0
catə-3.TextGrid,CVCV,a,94.42870633,1,1,1
catə-3.TextGrid,CVCV,ə,121.8130312,1,2,0
catə-3.TextGrid,CVCV,a,167.5977654,2,1,1
catə-3.TextGrid,CVCV,ə,172.6256983,2,2,0
caxtəx.TextGrid,CaxCax,a,77.62557078,1,1,1
caxtəx.TextGrid,CaxCax,ə,70.77625571,1,2,0
caxtəx.TextGrid,CaxCax,a,74.73684211,2,1,1
caxtəx.TextGrid,CaxCax,ə,85.26315789,2,2,0
caxtəx-2.TextGrid,CaxCax,a,107.5514874,1,1,1
caxtəx-2.TextGrid,CaxCax,ə,59.49656751,1,2,0
caxtəx-2.TextGrid,CaxCax,a,109.375,2,1,1
caxtəx-2.TextGrid,CaxCax,ə,78.125,2,2,0
caxtəx-3.TextGrid,CaxCax,a,70.69672131,1,1,1
caxtəx-3.TextGrid,CaxCax,,0,1,2,0
caxtəx-3.TextGrid,CaxCax,a,89.28571429,2,1,1
