file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,file,vowel,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
bachta-4,a,672.2582029,1432.591679,2780.701959,bachta-4,ə,424.8173335,1327.97481,2533.463968,bachta-4,a,744.4433389,1749.758245,2943.367575,bachta-4,x,1069.53558,2405.486451,2967.240727,bachta-4,_,962.2771409,2329.741992,3407.008653,bachta-4,_,670.9503847,1742.472177,2937.231762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bachta,a,840.0413688,1501.836508,2567.936334,bachta,ə,609.0744941,1654.023827,3010.571068,bachta,a,731.6539774,1479.886957,2839.110659,bachta,x,1192.337485,2365.65674,3194.069327,bachta,_,1461.917108,2526.524658,3630.656392,bachta,_,507.5572437,1617.489541,2838.771972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bachtach-2,a,710.9841844,1317.68751,2460.218052,bachtach-2,ə,517.903888,1280.781151,2711.024996,bachtach-2,a,690.3959561,1366.360018,2518.362419,bachtach-2,x,1089.218541,2058.75923,3071.324739,bachtach-2,_,1313.490716,2560.164287,3451.066511,bachtach-2,_,576.6654298,1419.439331,2807.306687,bachtach-2,x,1022.017914,2454.814507,3331.66727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bachtach-3,a,752.2218932,1506.958943,2688.888708,bachtach-3,ə,711.2273041,1597.92471,2669.456682,bachtach-3,a,749.5886914,1679.470163,2862.522572,bachtach-3,x,1217.635397,2456.88657,3304.208464,bachtach-3,closure,947.0304604,2197.403459,3326.593952,bachtach-3,t burst,839.8209795,1998.175277,3278.064752,bachtach-3,_,575.6511641,1294.401196,2662.237759,bachtach-3,x,984.6840855,2355.918612,3152.885926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bachtach,a,746.39014,1604.841086,2788.465656,bachtach,ə,528.1281437,1588.804712,2855.022596,bachtach,a,647.0839308,1173.340638,2837.487169,bachtach,x,1107.193687,2456.505675,3410.213321,bachtach,closure,1421.496983,2603.954059,3505.848354,bachtach,t burst,768.5581307,2013.358248,3380.730507,bachtach,_,499.7792284,1446.054495,2308.538013,bachtach,x,917.1607576,2003.28962,3012.476847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bachto-2,a,781.7101911,1559.572065,2762.337939,bachto-2,o,446.7531132,1180.757143,2574.927059,bachto-2,a,698.7987232,1596.290622,2739.081386,bachto-2,x,1167.200985,2580.825761,3487.528669,bachto-2,closure,1450.510976,2667.472097,3551.055595,bachto-2,t burst,473.0692309,1469.733482,2746.190438,bachto-2,o,473.6018548,1190.79659,2779.744643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bachto,a,653.0253182,1461.84703,2622.489139,bachto,o,486.2345251,1311.999715,2693.715066,bachto,a,697.31652,1534.032762,2567.665257,bachto,x,1007.515657,2577.166443,3477.668253,bachto,_,1365.743878,2540.601983,3494.052506,bachto,o,438.7483723,1264.374008,2640.669197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bachtuu-2,a,678.5988299,1427.742326,2758.848626,bachtuu-2,u:,370.9091031,1225.069901,2756.57304,bachtuu-2,a,700.4561352,1599.275403,2723.157099,bachtuu-2,x,1008.965952,2415.787262,3322.705832,bachtuu-2,_,1123.731089,2337.028474,3388.643101,bachtuu-2,u,383.627284,1252.135754,2741.025575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bachtuu-3,a,710.617152,1391.051417,2626.392178,bachtuu-3,u:,403.393293,1260.846146,2818.442719,bachtuu-3,a,609.6426426,1565.083528,2739.294096,bachtuu-3,x,924.2768477,2057.612808,3027.806029,bachtuu-3,_,1097.867338,2416.152307,3284.160811,bachtuu-3,u,396.7184352,1372.983269,2529.432638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bachtuu,a,673.4026548,1375.859621,2706.672559,bachtuu,u:,343.145946,1102.559388,2901.513115,bachtuu,a,589.448946,1378.083268,2668.343542,bachtuu,x,1136.748306,2401.109786,3279.721122,bachtuu,closure,1094.721634,2581.227867,3482.748907,bachtuu,t burst,402.8615908,1594.262304,2968.012517,bachtuu,u,357.9932013,1043.657269,2987.151986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bahuu-2,æ,617.3926137,1560.719883,2785.25591,bahuu-2,u:,499.5916107,1428.473494,2565.212065,bahuu-2,æ,599.0596424,1541.702338,2660.176542,bahuu-2,h,465.8701693,1603.592116,2730.101498,bahuu-2,u,416.7870471,1200.66209,2579.133869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bahuu-3,æ,584.9942656,1464.127834,2430.49628,bahuu-3,u:,485.205282,1313.123828,2582.682405,bahuu-3,æ,636.7623541,1570.969904,2638.495143,bahuu-3,h,501.3913607,1693.366051,2994.992434,bahuu-3,u,316.7034473,1021.859968,2386.416448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bahuu,æ,546.8043499,1391.081512,2542.273368,bahuu,u:,343.1572715,1073.340006,2836.849333,bahuu,æ,571.6831099,1544.64175,2784.346976,bahuu,h?,427.7727235,1495.018153,2811.272452,bahuu,u,372.1041728,1179.765011,2603.175319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bata-2,a,640.1094506,1406.890444,2637.217224,bata-2,ə,388.9020074,1462.52624,2679.510923,bata-2,a,787.2352274,1563.670184,2868.416361,bata-2,_,921.5127464,2327.19559,3363.917367,bata-2,_,419.0948642,1467.346796,2767.266993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bata-3,a,777.0171133,1418.134878,2917.477734,bata-3,ə,365.5293719,1560.378445,2791.453066,bata-3,a,817.2460277,1634.041462,2862.73572,bata-3,_,996.6739715,2268.767163,3370.684022,bata-3,_,455.2879913,1640.836598,2931.503518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bata,a,594.5452301,1326.563499,2501.416937,bata,ə,617.9423362,1733.776722,2859.665932,bata,a,569.935178,1481.786477,2690.011895,bata,_,990.7591021,2312.418358,3403.677208,bata,_,381.2326869,1217.515621,2520.153921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biseach-2,i,338.3547971,1696.498701,2737.918115,biseach-2,a,905.8671163,2205.901919,3331.465339,biseach-2,i,365.8259151,1549.368066,2586.894884,biseach-2,_,1408.570332,2444.632377,3247.730354,biseach-2,_,526.5146575,1308.998046,2586.815515,biseach-2,x,1049.049421,2480.880278,3453.097297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biseach-3,i,352.4254729,1442.591338,2593.447518,biseach-3,a,466.1322454,1320.395697,2674.181307,biseach-3,i,396.6271654,1614.435356,2722.819921,biseach-3,_,1296.160252,2382.154062,3254.33676,biseach-3,_,488.2538867,1335.625498,2543.13929,biseach-3,x,1018.931716,2376.075164,3457.982888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biseach-4,i,391.9915011,1362.677771,2704.323655,biseach-4,a,675.7791251,1625.431262,2711.890626,biseach-4,i,433.532271,1692.299263,3130.375857,biseach-4,_,1301.368944,2353.569154,3304.801469,biseach-4,_,621.7274782,1706.825672,2736.664319,biseach-4,x,1058.56922,2278.314261,3390.76134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biseach-5,i,396.2523019,1555.417857,2635.946595,biseach-5,a,593.1269171,1605.818175,2663.812304,biseach-5,i,409.9962225,1677.06629,3015.513538,biseach-5,_,1282.930331,2324.136217,3259.938406,biseach-5,_,641.7587589,1615.869668,2832.103035,biseach-5,x,1033.842158,2274.19125,3216.884031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biseach-6,i,381.4440949,1548.104501,2775.580409,biseach-6,a,826.3501807,2017.111217,2873.346778,biseach-6,i,375.3975692,1436.237759,2749.621496,biseach-6,_,1493.17997,2510.191757,3363.970004,biseach-6,_,667.4235352,1648.529604,2753.832381,biseach-6,x,1088.611209,2440.510981,3240.100861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biseach,i,360.1027106,1547.193666,2843.566301,biseach,a,499.2133406,1427.671879,2254.485376,biseach,i,339.8016028,1674.737515,2747.417514,biseach,_,1105.291584,2282.179956,3123.133043,biseach,_,496.0698023,1322.213595,2628.261178,biseach,x,992.67165,2258.593466,3299.286791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
