soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
bacach-6,closure,253.4661068,1770.795258,3272.598204,bacach-6,b burst,848.0448407,1648.14784,2771.947733,bacach-6,_,463.153457,1254.698808,2462.288388,bacach-6,closure,416.2013293,1193.340542,2907.710546,bacach-6,k burst,798.7316015,1636.898197,2896.467725,bacach-6,a,639.7171436,1399.389734,2692.285635,bacach-6,x,963.2638163,2318.477448,3391.520599,bacach-6,closure,502.3040363,1729.688248,2995.779903,bacach-6,b burst,630.5640523,1465.99519,2884.427715,bacach-6,_,355.5292119,1150.097208,2655.746498,bacach-6,closure,890.3465514,1564.805393,2897.577731,bacach-6,k burst,963.9932793,1835.066228,3125.860416,bacach-6,a,584.1725048,1326.851762,2594.251575,bacach-6,x,854.4260024,2020.413755,2954.860994,,,,,,,,,,
bacach,closure,856.9805277,2465.319878,3452.361984,bacach,b burst,462.2155445,1419.838895,2544.900863,bacach,_,491.1594478,1100.497805,2525.312349,bacach,closure,559.6751615,1500.742014,2897.488439,bacach,k burst,994.8956592,2182.965809,3031.796349,bacach,a,520.9023632,1299.71061,2635.604843,bacach,x,854.4951008,1931.864246,3091.42914,bacach,closure,704.7499208,1891.548699,3125.891465,bacach,b burst,789.8839728,1636.200496,2756.170299,bacach,_,423.9718618,1316.184483,2920.992968,bacach,closure,745.4009939,1496.566123,2842.68322,bacach,k burst,818.3377285,1582.72191,2908.813863,bacach,a,630.606388,1418.324597,2550.246285,bacach,x,1036.720934,2412.006502,3335.966481,,,,,,,,,,
bachta-2,closure,219.7563911,1673.62635,3066.05708,bachta-2,b burst,876.612942,1770.1046,2685.806994,bachta-2,a,696.8598747,1508.861429,2637.135616,bachta-2,x,1023.212827,2083.191376,3235.116592,bachta-2,closure,1198.569075,2462.694971,3568.319847,bachta-2,t burst,974.101803,2219.455319,3254.491645,bachta-2,_,569.8988037,1671.583849,2822.151555,bachta-2,closure,476.8963339,1520.466747,2978.630015,bachta-2,b burst,384.6688336,1224.250698,2672.621368,bachta-2,a,628.288705,1558.445559,2902.14961,bachta-2,x,1400.192565,2590.01416,3467.375348,bachta-2,_,917.764297,2418.320978,3409.242121,bachta-2,_,481.7800118,1380.642981,2757.540607,,,,,,,,,,,,,,,
bachta-3,closure,618.9120877,2102.84729,3486.431693,bachta-3,b burst,534.514449,1842.578038,3262.437348,bachta-3,a,597.452377,1183.406294,2629.732735,bachta-3,x,958.2164411,1726.625263,2998.953368,bachta-3,_,1027.266545,2379.046969,3355.279544,bachta-3,_,622.909291,1739.059329,3073.241319,bachta-3,closure,567.814124,1866.262284,3026.392763,bachta-3,b burst,386.3986358,1491.740959,2664.349792,bachta-3,a,697.0549571,1570.673174,2767.696461,bachta-3,x,1195.170614,2511.476153,3344.231042,bachta-3,_,1007.988419,2394.573157,3319.282642,bachta-3,_,379.9670216,1216.152095,2499.652233,,,,,,,,,,,,,,,,,,,,
bachta-4,closure,165.740995,939.9551461,2748.058555,bachta-4,b burst,590.5793478,1738.296208,3036.17801,bachta-4,a,672.2582029,1432.591679,2780.701959,bachta-4,x,1065.706456,2110.221059,3125.30368,bachta-4,closure,1151.222777,2534.37059,3467.038086,bachta-4,t burst,445.4383321,1586.114029,2901.843732,bachta-4,_,424.8173335,1327.97481,2533.463968,bachta-4,closure,388.5356721,1540.892027,2889.200087,bachta-4,b burst,641.1865711,1589.079862,2727.640059,bachta-4,a,744.4433389,1749.758245,2943.367575,bachta-4,x,1069.53558,2405.486451,2967.240727,bachta-4,_,962.2771409,2329.741992,3407.008653,bachta-4,_,670.9503847,1742.472177,2937.231762,,,,,,,,,,,,,,,
bachta,closure,1447.481209,2622.446388,3797.675674,bachta,b burst,519.627251,1535.104769,2697.858277,bachta,a,840.0413688,1501.836508,2567.936334,bachta,x,1078.874348,2362.305061,3360.106238,bachta,closure,1309.927689,2609.24713,3711.890385,bachta,t burst,857.7957926,1968.487761,3432.967875,bachta,_,609.0744941,1654.023827,3010.571068,bachta,closure,640.6204644,1937.232086,3188.002878,bachta,b burst,732.1101811,1610.407605,2909.302503,bachta,a,731.6539774,1479.886957,2839.110659,bachta,x,1192.337485,2365.65674,3194.069327,bachta,_,1461.917108,2526.524658,3630.656392,bachta,_,507.5572437,1617.489541,2838.771972,,,,,,,,,,,,,,,
bachtach-2,closure,164.9942629,1447.09529,2870.696571,bachtach-2,b burst,602.8721506,1495.845093,2794.770484,bachtach-2,a,710.9841844,1317.68751,2460.218052,bachtach-2,x,1096.125841,2494.344686,3398.196322,bachtach-2,_,1276.534497,2330.062018,3524.362947,bachtach-2,_,517.903888,1280.781151,2711.024996,bachtach-2,x,964.9564183,2361.19169,3219.348287,bachtach-2,closure,869.122005,2051.096964,3348.273687,bachtach-2,b burst,641.519669,1810.808645,2791.61181,bachtach-2,a,690.3959561,1366.360018,2518.362419,bachtach-2,x,1089.218541,2058.75923,3071.324739,bachtach-2,_,1313.490716,2560.164287,3451.066511,bachtach-2,_,576.6654298,1419.439331,2807.306687,bachtach-2,x,1022.017914,2454.814507,3331.66727,,,,,,,,,,
bachtach-3,closure,433.2408379,2134.113484,3221.795986,bachtach-3,b burst,484.6478961,1366.392348,2705.096712,bachtach-3,a,752.2218932,1506.958943,2688.888708,bachtach-3,x,924.4428965,1712.054512,2904.754322,bachtach-3,_,988.0864967,2316.245538,3310.516722,bachtach-3,_,711.2273041,1597.92471,2669.456682,bachtach-3,x,947.5411741,2233.859743,3154.243507,bachtach-3,closure,241.4239057,1233.711647,2785.553264,bachtach-3,b burst,398.157857,1389.48856,2810.614092,bachtach-3,a,749.5886914,1679.470163,2862.522572,bachtach-3,x,1217.635397,2456.88657,3304.208464,bachtach-3,closure,947.0304604,2197.403459,3326.593952,bachtach-3,t burst,839.8209795,1998.175277,3278.064752,bachtach-3,_,575.6511641,1294.401196,2662.237759,bachtach-3,x,984.6840855,2355.918612,3152.885926,,,,,
bachtach,closure,199.4976907,1908.325313,2994.391969,bachtach,b burst,651.5068142,1365.138094,2843.161212,bachtach,a,746.39014,1604.841086,2788.465656,bachtach,x,1088.063543,1926.786323,3326.545771,bachtach,closure,1625.272216,2258.692469,3550.943676,bachtach,t burst,516.3076246,1537.375162,3033.076623,bachtach,_,528.1281437,1588.804712,2855.022596,bachtach,x,958.4322245,2130.345103,3165.945528,bachtach,closure,583.3559103,1875.024006,3224.936471,bachtach,b burst,463.8558038,1167.655314,2872.912474,bachtach,a,647.0839308,1173.340638,2837.487169,bachtach,x,1107.193687,2456.505675,3410.213321,bachtach,closure,1421.496983,2603.954059,3505.848354,bachtach,t burst,768.5581307,2013.358248,3380.730507,bachtach,_,499.7792284,1446.054495,2308.538013,bachtach,x,917.1607576,2003.28962,3012.476847
bachto-2,closure,694.5940016,2127.397537,3263.676321,bachto-2,b burst,572.1668516,1590.594227,2851.972972,bachto-2,a,781.7101911,1559.572065,2762.337939,bachto-2,x,1136.426177,2378.557207,3262.209606,bachto-2,closure,1020.383244,2478.899175,3388.319122,bachto-2,t burst,518.4369335,1506.065431,2771.168723,bachto-2,o,446.7531132,1180.757143,2574.927059,bachto-2,closure,470.040602,1445.893597,2796.132268,bachto-2,b burst,557.6583847,1704.552927,2710.108212,bachto-2,a,698.7987232,1596.290622,2739.081386,bachto-2,x,1167.200985,2580.825761,3487.528669,bachto-2,closure,1450.510976,2667.472097,3551.055595,bachto-2,t burst,473.0692309,1469.733482,2746.190438,bachto-2,o,473.6018548,1190.79659,2779.744643,,,,,,,,,,
