soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3,soundname,intervalname,F1,F2,F3
biseach-2,closure,172.1948357,1547.700024,2984.831289,biseach-2,b burst,322.2628629,1505.803085,2652.671344,biseach-2,i,338.3547971,1696.498701,2737.918115,biseach-2,_,1111.084363,2275.144002,3202.391287,biseach-2,_,905.8671163,2205.901919,3331.465339,biseach-2,x,1007.327255,2098.185374,3154.974357,biseach-2,closure,184.6052933,1354.726855,2793.056584,biseach-2,b burst,311.2017318,1545.910777,2723.868998,biseach-2,i,365.8259151,1549.368066,2586.894884,biseach-2,_,1408.570332,2444.632377,3247.730354,biseach-2,_,526.5146575,1308.998046,2586.815515,biseach-2,x,1049.049421,2480.880278,3453.097297,,,,,,,,,,,,,,,,,,,,
biseach-3,closure,177.4044169,1573.4244,3153.827636,biseach-3,b burst,548.4675671,1426.571338,2678.032663,biseach-3,i,352.4254729,1442.591338,2593.447518,biseach-3,_,1372.882012,2386.643653,3185.046911,biseach-3,_,466.1322454,1320.395697,2674.181307,biseach-3,x,980.5842389,2317.972945,3353.48442,biseach-3,closure,409.1900226,1601.832867,2980.303988,biseach-3,b burst,433.966743,1361.885569,2874.55372,biseach-3,i,396.6271654,1614.435356,2722.819921,biseach-3,_,1296.160252,2382.154062,3254.33676,biseach-3,_,488.2538867,1335.625498,2543.13929,biseach-3,x,1018.931716,2376.075164,3457.982888,,,,,,,,,,,,,,,,,,,,
biseach-4,closure,276.4558593,1300.569041,2914.121508,biseach-4,b burst,611.5839633,1496.439012,2863.892672,biseach-4,i,391.9915011,1362.677771,2704.323655,biseach-4,_,1155.564657,2315.386604,3086.867538,biseach-4,_,675.7791251,1625.431262,2711.890626,biseach-4,x,1020.975709,2367.626972,3354.212375,biseach-4,closure,317.5240585,1777.854417,2968.035319,biseach-4,b burst,403.8471444,1790.823217,2962.670041,biseach-4,i,433.532271,1692.299263,3130.375857,biseach-4,_,1301.368944,2353.569154,3304.801469,biseach-4,_,621.7274782,1706.825672,2736.664319,biseach-4,x,1058.56922,2278.314261,3390.76134,,,,,,,,,,,,,,,,,,,,
biseach-5,closure,166.8641081,1177.742204,2805.98665,biseach-5,b burst,502.8511559,1478.502432,2561.829219,biseach-5,i,396.2523019,1555.417857,2635.946595,biseach-5,_,1417.782824,2351.99336,3255.985,biseach-5,_,593.1269171,1605.818175,2663.812304,biseach-5,x,965.3897001,1945.220384,3116.053505,biseach-5,closure,395.637929,1733.430231,2853.24992,biseach-5,b burst,338.6661072,2073.304579,2934.975074,biseach-5,i,409.9962225,1677.06629,3015.513538,biseach-5,_,1282.930331,2324.136217,3259.938406,biseach-5,_,641.7587589,1615.869668,2832.103035,biseach-5,x,1033.842158,2274.19125,3216.884031,,,,,,,,,,,,,,,,,,,,
biseach-6,closure,234.5036707,1358.444399,2875.45885,biseach-6,b burst,374.9559491,1277.11295,2504.932147,biseach-6,i,381.4440949,1548.104501,2775.580409,biseach-6,_,1621.286853,2529.406594,3359.690532,biseach-6,_,826.3501807,2017.111217,2873.346778,biseach-6,x,995.3282867,2323.602831,3251.649305,biseach-6,closure,193.5781721,1366.428966,2873.843209,biseach-6,b burst,788.1998977,1991.705077,2935.260655,biseach-6,i,375.3975692,1436.237759,2749.621496,biseach-6,_,1493.17997,2510.191757,3363.970004,biseach-6,_,667.4235352,1648.529604,2753.832381,biseach-6,x,1088.611209,2440.510981,3240.100861,,,,,,,,,,,,,,,,,,,,
biseach,closure,179.1924529,1936.900507,3057.681931,biseach,b burst,368.4346453,1461.825342,2345.847888,biseach,i,360.1027106,1547.193666,2843.566301,biseach,_,1509.566093,2558.429474,3348.020087,biseach,_,499.2133406,1427.671879,2254.485376,biseach,x,994.6799232,2266.981375,3298.625626,biseach,closure,504.3403345,1638.720073,3028.019948,biseach,b burst,350.0119684,1381.936666,2504.905802,biseach,i,339.8016028,1674.737515,2747.417514,biseach,_,1105.291584,2282.179956,3123.133043,biseach,_,496.0698023,1322.213595,2628.261178,biseach,x,992.67165,2258.593466,3299.286791,,,,,,,,,,,,,,,,,,,,
caaca-2,closure,750.992945,2276.290909,3489.803453,caaca-2,k burst,913.3282817,2319.636553,3329.965385,caaca-2,a,528.0250767,1318.181652,2735.398902,caaca-2,closure,692.6874682,1515.195015,3033.613537,caaca-2,k burst,830.8248553,1649.55204,3049.64434,caaca-2,_,472.6719975,1232.114133,2736.324082,caaca-2,closure,1020.790257,1902.463969,2991.818022,caaca-2, k burst,853.3082609,1669.263559,2882.157959,caaca-2,a,572.5972415,1132.483517,2399.666415,caaca-2,closure,708.526638,1872.522221,3344.416438,caaca-2,k burst,647.0140005,1271.041265,2883.660905,caaca-2,_,312.0396962,1212.837828,2673.766555,,,,,,,,,,,,,,,,,,,,
caaca-3,closure,620.8868785,1876.365596,3141.58301,caaca-3,k burst,976.4801061,1768.447953,3182.791247,caaca-3,a,686.986582,1529.433963,2573.179493,caaca-3,closure,702.9133094,1522.983127,2983.734828,caaca-3,k burst,894.4713698,2209.548579,3240.100222,caaca-3,_,433.6185936,1427.775286,2758.959793,caaca-3,closure,832.9042366,1849.104911,2789.588506,caaca-3,k burst,957.5474789,2150.749828,3081.107509,caaca-3,a,710.4076308,1597.681911,2712.685893,caaca-3,closure,737.640113,1580.346786,3001.885482,caaca-3,k burst,824.9157981,1821.367954,3140.527829,caaca-3,_,517.2297418,1632.109487,2902.465381,,,,,,,,,,,,,,,,,,,,
caaca,closure,1025.556182,2122.804696,3391.651837,caaca,k burst,901.0373113,1861.729445,3061.30968,caaca,a,579.9370467,1134.660274,2447.040766,caaca,closure,878.1721487,2083.50144,3355.166235,caaca,k burst,761.5759242,1495.825618,3050.080201,caaca,_,482.8657354,1248.150033,2840.440651,caaca,closure,860.0533967,1906.692688,2839.364532,caaca,k burst,791.8709953,1643.152791,2860.430999,caaca,a,547.8205183,1194.440824,2318.64487,caaca,closure,810.3575713,2041.340853,3296.073534,caaca,k burst,673.4663422,1293.431566,2911.041644,caaca,_,352.1780345,1242.389694,2861.852358,,,,,,,,,,,,,,,,,,,,
cachpa-2,closure,617.0044317,1800.643933,3043.640005,cachpa-2,k burst,1134.458609,1825.53917,3136.510128,cachpa-2,a,669.887753,1393.948128,2547.292369,cachpa-2,x,828.6838023,1959.605173,3164.195378,cachpa-2,closure,1083.136914,2484.969184,3629.753488,cachpa-2,p burst,222.5541903,1228.792988,2596.523287,cachpa-2,_,810.4909551,1850.050497,2902.129324,cachpa-2,closure,600.2207427,1635.459365,2933.156974,cachpa-2,k burst,950.8680052,1720.442399,2908.971806,cachpa-2,a,750.843179,1392.588598,2389.756052,cachpa-2,x,924.6518438,2257.123714,3231.879109,cachpa-2,closure,528.0252586,1842.319114,3085.722109,cachpa-2,p burst,597.6706029,1851.255003,3016.142275,cachpa-2,_,584.0319165,1507.390367,2809.668905,,,,,,,,,,
cachpa-3,closure,1133.915985,2292.510216,3414.230709,cachpa-3,k burst,1416.895517,2473.491097,3428.56323,cachpa-3,a,647.9413289,1608.510599,2658.816446,cachpa-3,x,938.1161145,1992.600425,3151.329535,cachpa-3,closure,1119.855209,2423.013809,3695.230175,cachpa-3,p burst,1014.543421,1885.724513,3041.758891,cachpa-3,_,784.9871814,1867.029056,3098.532827,cachpa-3,k burst,1079.444092,2232.279588,3111.135845,cachpa-3,a,591.9154031,1521.232075,2763.100517,cachpa-3,x,910.380708,1807.270319,2978.190899,cachpa-3,closure,986.3368658,2287.743448,3377.510001,cachpa-3,p burst,621.9793937,1849.156027,3231.606427,cachpa-3,_,547.4870389,1430.591786,2806.918051,,,,,,,,,,,,,,,
cachpa,closure,1455.290094,2347.335612,3588.711259,cachpa,k burst,1345.318786,2290.999568,3328.870824,cachpa,a,672.764838,1655.556918,2711.700421,cachpa,x,868.4590588,2192.313674,3262.920971,cachpa,closure,917.9594165,2213.20763,3373.089155,cachpa,p burst,534.0600632,1514.355218,2855.485345,cachpa,_,539.8751593,1335.618099,2780.821121,cachpa,closure,517.569496,1577.997099,2886.439901,cachpa,k burst,830.2728555,2023.063896,2958.923901,cachpa,a,591.918301,1579.300742,2790.024253,cachpa,x,907.8851902,1856.323585,3066.195519,cachpa,closure,1053.231545,2468.875608,3705.160314,cachpa,p burst,242.184095,1096.068416,2574.208815,cachpa,_,508.967398,1316.028739,2748.826161,,,,,,,,,,
cachta-2,closure,1233.326297,2268.779578,3260.237492,cachta-2,k burst,1019.551777,1878.079753,3156.270648,cachta-2,a,741.1183706,1715.683224,3038.759993,cachta-2,x,994.263414,2167.795622,3181.903451,cachta-2,closure,1201.62274,2536.4523,3477.433013,cachta-2,t burst,389.5798911,1503.257294,2834.180971,cachta-2,_,654.6075968,1660.131245,2786.90057,cachta-2,closure,805.7536154,1841.395833,2747.467058,cachta-2,k burst,1169.096873,1878.454076,3101.674545,cachta-2,a,687.0762169,1659.928743,2746.485299,cachta-2,x,837.1370915,1923.919376,3010.681621,cachta-2,closure,1337.594208,2513.236631,3506.370282,cachta-2,t burst,452.4665185,1484.042968,2947.695903,cachta-2,_,393.7362797,1462.404497,2864.63967,,,,,,,,,,
cachta-3,closure,523.6020216,1402.915039,2863.870803,cachta-3,k burst,950.2830625,1564.592302,3069.70656,cachta-3,a,652.7571859,1248.113828,2603.360634,cachta-3,x,1002.551794,1985.013134,3024.94033,cachta-3,_,661.2648105,2011.372314,3117.136106,cachta-3,_,392.117577,1505.735077,2733.419077,cachta-3,closure,598.2553916,1481.212266,2749.786267,cachta-3,k burst,999.464808,1867.314146,2941.894527,cachta-3,a,697.2565362,1791.680721,2671.538553,cachta-3,x,1048.468316,1999.64442,2936.434517,cachta-3,closure,1118.686753,2552.276216,3514.212483,cachta-3,t burst,560.557258,1661.481694,2926.236591,cachta-3,_,448.9498441,1403.435388,2780.954243,,,,,,,,,,,,,,,
cachta,closure,868.3672347,2001.463781,3379.157644,cachta,k burst,1188.56893,2221.456625,3212.038074,cachta,a,782.00955,1617.893999,2844.785512,cachta,x,903.1227265,1736.468761,2986.123506,cachta,closure,1505.631553,2610.94946,3565.842169,cachta,t burst,371.7850983,1396.467974,2858.79608,cachta,_,485.0437258,1334.104919,2867.617775,cachta,closure,1605.266713,2580.933019,3387.610015,cachta,k burst,1035.626478,2228.898739,3000.285216,cachta,a,650.7307573,1579.24928,2871.910998,cachta,x,1081.222599,2355.429536,3186.995382,cachta,_,1361.240849,2555.715942,3491.95719,cachta,_,456.5043166,1303.772807,2829.703737,,,,,,,,,,,,,,,
cachtach-2,closure,602.9288411,1676.229406,3000.269762,cachtach-2,k burst,1282.097077,2232.191935,3284.301033,cachtach-2,a,666.053638,1483.339727,2671.134597,cachtach-2,x,859.275815,1519.685252,2927.621147,cachtach-2,_,1056.196445,2390.29039,3434.892911,cachtach-2,_,543.2570779,1453.655969,2577.812043,cachtach-2,x,929.017503,1970.733081,2942.067353,cachtach-2,closure,818.5339623,1584.397765,2711.060718,cachtach-2,k burst,1169.37537,1931.120675,2972.570469,cachtach-2,a,795.4553963,1733.845187,2772.963344,cachtach-2,x,892.0398303,1740.195709,3037.251504,cachtach-2,closure,1013.438058,2303.76612,3394.082187,cachtach-2,t burst,366.2905369,1462.444343,2869.576993,cachtach-2,_,671.8148694,1865.587596,3149.286398,cachtach-2,x,1003.417138,2296.677884,3157.257458,,,,,
cachtach-3,closure,678.0451123,1839.806039,3264.210784,cachtach-3,k burst,1207.517471,2146.902151,3222.661345,cachtach-3,a,741.1288121,1460.77552,2831.637667,cachtach-3,x,907.4352946,2004.899145,3173.611829,cachtach-3,_,1015.52606,2422.171834,3396.251462,cachtach-3,_,646.0490861,1665.936541,2852.493401,cachtach-3,x,989.5366582,2313.550899,3164.089013,cachtach-3,closure,919.0127158,1881.718958,3236.881394,cachtach-3,k burst,1108.009627,2109.430995,3052.103319,cachtach-3,a,731.0813109,1616.884072,2793.233296,cachtach-3,x,1013.490889,2189.787808,3190.974689,cachtach-3,_,1084.902822,2345.107104,3324.198707,cachtach-3,_,575.0398024,1349.927264,2691.800244,cachtach-3,x,1096.537458,2629.634244,3431.317268,,,,,,,,,,
cachtach,closure,648.4540223,1787.35864,2933.871517,cachtach,k burst,1042.218726,1956.561486,3171.335693,cachtach,a,657.2013124,1497.824729,2637.141711,cachtach,x,1150.849718,2377.539524,3323.277706,cachtach,closure,1328.506217,2433.366818,3230.474272,cachtach,t burst,1228.299007,2527.377488,3268.14279,cachtach,x,1101.343624,2444.755944,3347.880806,cachtach,closure,614.0674004,1622.822216,2819.91865,cachtach,k burst,661.4775958,1513.166455,2800.335369,cachtach,a,654.8799067,1443.582047,2942.084769,cachtach,x,1131.58108,2270.137522,3232.126371,cachtach,closure,1181.458402,2425.011623,3412.12163,cachtach,t burst,459.4569819,1729.462,2967.424008,cachtach,_,518.8622888,1239.256111,2511.186153,cachtach,x,944.576508,2319.791783,3337.185068,,,,,
capall,closure,1374.081316,2385.360597,3395.431859,capall,k burst,1035.383896,1881.683301,3088.411282,capall,a,718.8087615,1366.10374,2700.661503,capall,closure,769.2520521,1491.624992,2977.608594,capall,p burst,427.0831684,1612.741518,3050.04533,capall,l,450.8674562,824.4157978,2842.474345,capall,closure,540.9883535,1482.64712,2745.957668,capall,k burst,1052.575375,2027.240051,3148.119246,capall,a,642.0753008,1345.570938,2742.925347,capall,closure,641.6607455,1826.918823,3284.425292,capall,p burst,669.2469717,1829.680802,3078.569665,capall,l,389.5389819,767.7134359,2919.269977,,,,,,,,,,,,,,,,,,,,
cata-2,closure,674.010386,1820.5816,3006.020229,cata-2,k burst,1222.64635,2191.92241,3304.458062,cata-2,a,615.0707703,1797.127033,2942.720313,cata-2,closure,1103.41541,2586.805524,3451.769293,cata-2,t burst,434.4663247,1875.258895,2718.333104,cata-2,_,342.8281495,1683.742275,3001.90906,cata-2,closure,766.0033985,1861.592569,2810.271734,cata-2,k burst,1146.894918,2093.668172,3064.74089,cata-2,a,478.5458497,1816.784148,2855.470739,cata-2,closure,1200.004846,2724.798587,3583.532155,cata-2,t burst,964.2400388,2250.623508,3101.260222,cata-2,_,418.9547608,1788.389437,2927.797202,,,,,,,,,,,,,,,,,,,,
cata-3,closure,1425.712794,2454.249118,3126.766036,cata-3,k burst,1438.63046,2388.02858,3243.584924,cata-3,a,817.5548391,1959.471691,3046.682624,cata-3,closure,1181.818887,2494.516628,3367.37204,cata-3,t burst,526.8519393,2090.000618,2808.360528,cata-3,_,509.5271034,1809.300661,2937.600871,cata-3,closure,619.8331632,1513.763965,2582.30387,cata-3,k burst,908.9769618,1582.349959,2831.959514,cata-3,a,600.8142671,1691.867974,2876.990225,cata-3,closure,939.7485231,2593.149932,3241.875327,cata-3,t burst,606.4216525,2147.964443,2980.826018,cata-3,_,390.7912952,1494.022531,2742.481983,,,,,,,,,,,,,,,,,,,,
cata,closure,1005.787936,2197.285704,3241.83463,cata,k burst,1229.124319,2129.847884,3169.277392,cata,a,408.2324927,1730.200904,2835.817979,cata,closure,1684.837349,2650.057792,3585.709114,cata,t burst,1047.03941,2390.28363,3140.675704,cata,_,371.4439648,1805.917298,3094.937281,cata,closure,879.1752623,1801.083317,3145.875513,cata,k burst,997.9311373,1869.236529,2990.39675,cata,a,564.366401,1718.838619,2971.858516,cata,closure,900.6824098,2367.297213,3380.96577,cata,t burst,835.1241774,2167.23162,2968.214009,cata,_,314.2740765,1760.70513,2676.746407,,,,,,,,,,,,,,,,,,,,
catach-2,closure,1347.816019,2457.250362,3627.366946,catach-2,k burst,862.5826506,2019.703101,3113.132497,catach-2,_,432.6239363,1407.679401,2574.582344,catach-2,closure,879.2366183,2452.079376,3402.254049,catach-2,t burst,386.3835292,1438.527525,3114.6292,catach-2,_,553.4298607,1248.83839,2849.361056,catach-2,x,1019.726803,2092.812441,3159.530254,catach-2,closure,952.4253762,1990.489272,3017.652653,catach-2,k burst,1121.667613,2003.677753,3091.603659,catach-2,_,611.4295899,1361.006087,2863.051353,catach-2,closure,1024.571281,2493.483854,3306.132937,catach-2,t burst,368.2483969,1358.531482,2830.115545,catach-2,_,471.8201603,1068.887579,2649.14166,catach-2,x,1011.532824,2437.009573,3350.981514,,,,,,,,,,
catach-3,closure,1167.584914,2420.189583,3315.756862,catach-3,k burst,1003.971904,1965.037081,3243.427815,catach-3,_,442.222766,1361.363792,2559.065424,catach-3,closure,1185.463317,2525.67041,3516.20726,catach-3,t burst,468.0584504,1845.164614,3065.127664,catach-3,a,724.0776731,1662.641632,2580.302558,catach-3,x,906.9641539,1667.191079,2901.670859,catach-3,closure,720.0030803,1603.710947,2686.625743,catach-3,k burst,964.9450573,2031.737424,3064.102254,catach-3,_,375.2518827,1270.8738,2518.954441,catach-3,closure,884.5318343,2310.532193,3362.924718,catach-3,t burst,962.5868985,1937.504243,3265.70047,catach-3,a,558.9230466,1297.829022,2533.739091,catach-3,x,1043.322979,2047.077942,2858.21998,,,,,,,,,,
catach-4,closure,1291.215829,2275.739601,2989.007615,catach-4,k burst,967.174379,1962.124957,3137.752706,catach-4,_,508.587706,1632.932197,2932.193921,catach-4,closure,929.735808,2355.242917,3370.200203,catach-4,t burst,771.7777319,1947.343195,2982.281082,catach-4,a,688.7054337,1521.795823,2680.223455,catach-4,x,868.8974197,1797.857677,3024.774986,catach-4,closure,1205.602422,2126.948185,3189.662768,catach-4,k burst,627.054102,1391.812544,2887.026656,catach-4,_,469.0944285,1357.304261,2696.279881,catach-4,closure,994.5918086,2382.093148,3524.350538,catach-4,t burst,626.099273,1854.067266,3167.452816,catach-4,a,732.2208943,1738.61018,2758.063643,catach-4,x,1042.709029,2080.440377,3078.338242,,,,,,,,,,
catach,closure,876.8629617,2078.642728,3166.821654,catach,k burst,918.8584749,1755.321412,3090.291087,catach,_,537.3240874,1271.768116,3103.208055,catach,_,867.2505276,2346.554327,3362.976465,catach,_,693.1110758,1805.075659,3036.035712,catach,x,1006.421127,2237.392792,3415.748435,catach,closure,578.0000561,1503.121372,2566.088992,catach,k burst,896.9709681,2005.281751,3206.759457,catach,_,479.8785504,1432.378292,2694.211287,catach,_,859.1284265,2318.742131,3381.394646,catach,_,582.5052692,1473.283628,2577.304714,catach,x,1015.125369,2523.979716,3527.542793,,,,,,,,,,,,,,,,,,,,
coocoo-2,closure,737.2345213,2128.3845,3325.227636,coocoo-2,k burst,950.8940408,2110.201787,3141.542272,coocoo-2,o,578.1151634,1439.949286,2643.817517,coocoo-2,closure,723.7591972,2403.381373,3499.607309,coocoo-2,k burst,704.2963623,1251.94054,2871.740449,coocoo-2,o,550.559294,1596.97713,2678.251644,coocoo-2,closure,1093.399191,2121.13819,3030.970336,coocoo-2,k burst,926.4905764,2075.862833,3239.929179,coocoo-2,o,424.3065023,1144.092862,2475.515427,coocoo-2,closure,595.8424526,1798.735063,3180.865389,coocoo-2,k burst,633.8028841,1072.327683,3043.249783,coocoo-2,o,475.4704697,1253.055938,2936.419863,,,,,,,,,,,,,,,,,,,,
coocoo-3,closure,581.2529819,1657.241077,3115.840932,coocoo-3,k burst,843.626516,1898.804394,3196.080336,coocoo-3,o,631.3583941,1638.80565,2428.458741,coocoo-3,closure,703.3255643,1995.411086,3209.958538,coocoo-3,k burst,792.3972916,1573.998489,2936.310981,coocoo-3,o,492.5090809,1326.99792,2416.91439,coocoo-3,closure,777.020203,1672.611915,2496.889278,coocoo-3,k burst,672.5095278,1810.249813,3032.710597,coocoo-3,o,470.4997234,1331.000776,2484.599336,coocoo-3,closure,526.8259425,1403.431729,2933.432663,coocoo-3,k burst,730.7312669,1316.450778,3000.561323,coocoo-3,o,428.7293398,1178.548298,2519.364965,,,,,,,,,,,,,,,,,,,,
coocoo,closure,895.1515266,1993.202879,3196.152703,coocoo,k burst,930.9711461,1858.029627,3294.155569,coocoo,o,499.8860154,1213.653659,2389.753653,coocoo,closure,716.0363112,2288.699876,3309.837682,coocoo,k burst,723.8265188,1092.120736,2835.647049,coocoo,o,451.5276379,1076.656426,2966.282962,coocoo,x,908.9504185,1693.690048,2738.67942,coocoo,o,433.6967078,1207.954608,2455.11625,coocoo,closure,672.6079435,1929.782577,3240.062932,coocoo,k burst,697.0085275,1287.696248,2957.98005,coocoo,o,455.6477877,1207.03355,2911.896893,,,,,,,,,,,,,,,,,,,,,,,,,
coota-2,closure,902.4122829,2159.160775,3340.350308,coota-2,k burst,687.1730296,1740.370454,3135.058855,coota-2,o,546.1431926,1372.757077,2361.3453,coota-2,closure,961.4987059,2207.011626,3295.738484,coota-2,_,592.0414203,1636.372619,2982.157844,coota-2,_,520.0429736,1494.635989,2801.238254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coota-3,closure,1288.12315,2540.134361,3776.674686,coota-3,k burst,755.2166254,1968.795626,3344.756824,coota-3,o,535.7138904,1395.544487,2427.718043,coota-3,_,835.3590075,2163.835753,3355.313159,coota-3,_,536.9866002,1430.274024,2797.94244,coota-3,closure,974.1801828,2050.142651,3153.327946,coota-3,k burst,826.6170052,2003.195792,3087.790694,coota-3,o,588.2695106,1536.801632,2527.072911,coota-3,_,997.4360011,2300.332933,3405.90776,coota-3,_,541.109332,1725.812151,3020.388693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coot_,closure,1169.071434,2455.465216,3406.186531,coot_,k burst,787.0777595,1884.537236,3290.623928,coot_,o,535.2776407,1378.144879,2796.235891,coot_,closure,721.228434,1858.429071,3259.262821,coot_,t burst,853.4236605,2050.264301,3302.571406,coot_,_,522.9009376,1230.653399,2924.229187,coot_,closure,1299.139964,2407.319618,3410.750239,coot_,k burst,847.8705713,2111.186594,3175.398578,coot_,o,461.6122688,959.3697356,2230.78862,coot_,closure,948.264232,2249.441478,3240.851403,coot_,t burst,1118.616915,2288.612005,3436.029802,coot_,_,456.0047135,1329.192273,2897.091899,,,,,,,,,,,,,,,,,,,,
cupa-2,closure,1016.84495,2147.6321,3378.967572,cupa-2,k burst,1064.737166,2096.186714,3442.379455,cupa-2,_,438.5343202,1253.46904,2581.064616,cupa-2,closure,538.4749798,1773.222824,3229.86168,cupa-2,p burst,286.7525507,1297.253648,2780.853426,cupa-2,_,711.4516688,1755.010319,2979.587408,cupa-2,closure,689.5841594,1750.945768,2897.738935,cupa-2,k burst,894.9689932,1652.800026,3002.856755,cupa-2,_,402.1913984,1164.661871,2713.072753,cupa-2,closure,803.5198343,2105.061468,3336.548161,cupa-2,p burst,449.2813077,1557.445833,2969.179536,cupa-2,_,505.6642253,1338.859116,2848.618865,,,,,,,,,,,,,,,,,,,,
cupa-3,closure,928.1393223,2096.443107,3403.654722,cupa-3,k burst,1094.655888,2292.593994,3310.757639,cupa-3,_,619.2046772,1550.308555,2771.609534,cupa-3,closure,531.8756854,1277.709298,2978.053444,cupa-3,p burst,325.9102545,1414.81126,2818.815157,cupa-3,_,591.8673449,1611.545752,2684.175972,cupa-3,closure,805.0106644,1874.410883,2774.093344,cupa-3,k burst,832.4605623,1792.626856,2981.120999,cupa-3,_,581.4162987,1556.201532,2719.26425,cupa-3,closure,762.5033826,1885.797745,3259.086081,cupa-3,p burst,436.1110943,1647.146239,2980.962002,cupa-3,_,719.2351299,1807.762242,2964.542135,,,,,,,,,,,,,,,,,,,,
cupa,closure,842.4234457,2168.464298,3371.394358,cupa,k burst,770.0112419,1594.584675,3085.902718,cupa,_,586.5346771,1383.271442,2878.610356,cupa,closure,684.0375554,1522.783174,3101.701179,cupa,p burst,524.1694951,1818.141874,3098.742751,cupa,_,473.8977275,1420.052471,2874.276031,cupa,closure,914.1783909,1885.736126,2967.482768,cupa,k burst,981.5950462,1798.519413,3062.777707,cupa,_,439.0143577,1349.789556,2808.353714,cupa,closure,523.8332617,1563.229902,3044.774173,cupa,p burst,679.3023688,1956.309751,2973.660529,cupa,_,484.8438421,1350.490758,2841.974484,,,,,,,,,,,,,,,,,,,,
cuthach-2,closure,853.771528,2102.86044,3301.694572,cuthach-2,k burst,848.9742413,1817.565691,3128.529015,cuthach-2,_,784.2273891,1799.804577,2791.778629,cuthach-2,h,894.3810618,2463.768404,3275.012806,cuthach-2,_,777.5983594,1645.327561,2908.014768,cuthach-2,x,966.7349131,2013.185743,3164.870993,cuthach-2,closure,562.4982738,1536.588101,2747.961779,cuthach-2,k burst,888.8899711,1751.792839,3021.969273,cuthach-2,_,367.5840852,1354.605676,2653.744169,cuthach-2,h,746.5640148,1891.372763,2985.586488,cuthach-2,_,598.0380429,1357.061534,2611.816113,cuthach-2,x,932.7375756,2717.199017,3599.922554,,,,,,,,,,,,,,,,,,,,
cuthach,closure,992.1061024,2178.76877,3449.882098,cuthach,k burst,860.9315688,2090.727554,3272.474322,cuthach,_,1044.885813,2022.491233,3121.775037,cuthach,h,813.1769281,2364.756833,3376.793902,cuthach,_,636.5597791,1351.962267,2837.272442,cuthach,x,918.3407791,2323.433637,3360.311317,cuthach,closure,808.5450081,1984.004584,2925.970557,cuthach,k burst,732.1351308,1566.649294,3078.691788,cuthach,_,535.1017753,1557.338047,2877.017254,cuthach,h,593.3848962,1694.761709,3101.112745,cuthach,_,562.4448272,1279.128185,2709.087455,cuthach,x,862.5358112,1954.636539,3154.543032,,,,,,,,,,,,,,,,,,,,
daata-2,closure,636.8990344,2053.556712,3173.233488,daata-2,d burst,525.833817,1621.716624,2850.598645,daata-2,a,618.3992156,1571.581408,2627.056138,daata-2,closure,860.7434577,2224.348358,3288.965933,daata-2,t burst,557.6361078,1833.309814,3146.590753,daata-2,_,349.222347,1267.499631,2483.981927,daata-2,closure,290.914289,2035.921528,3322.242766,daata-2,d burst,520.4211391,1774.578199,2753.893358,daata-2,a,560.4207841,1438.516897,2717.285677,daata-2,closure,1145.84404,2475.149737,3716.169306,daata-2,t burst,640.9446931,1747.382114,3035.863491,daata-2,_,354.4053813,1354.384442,2818.781783,,,,,,,,,,,,,,,,,,,,
daata-3,closure,1549.492911,2568.751029,3574.850295,daata-3,d burst,696.2361465,1892.932416,3108.663524,daata-3,a,601.2871639,1677.249599,2667.265441,daata-3,closure,953.0602278,2335.479285,3200.336274,daata-3,t burst,753.796594,2000.063724,3316.150828,daata-3,_,342.0704705,1237.446646,2547.492088,daata-3,closure,1522.446273,2788.446938,3600.782329,daata-3,d burst,554.9792509,1683.525327,2889.174367,daata-3,a,581.4785105,1361.71502,2525.738579,daata-3,closure,1265.305254,2665.002322,3638.953214,daata-3,t burst,654.6266109,1848.476783,3204.505415,daata-3,_,519.4980315,1592.57509,2958.452551,,,,,,,,,,,,,,,,,,,,
daata,closure,273.6294373,2109.412315,3179.496211,daata,d burst,406.8419611,1412.931605,2967.374289,daata,a,561.1901161,1313.649952,2629.43146,daata,closure,1066.704713,2439.504608,3444.682093,daata,t burst,1006.228311,2300.990489,3366.197943,daata,_,423.3629032,1531.011077,2919.959806,daata,closure,981.707096,2414.192801,3658.713269,daata,d burst,432.4099801,1488.305995,2811.323698,daata,a,518.0245945,1309.340678,2480.54427,daata,closure,967.6685885,2322.755676,3327.995786,daata,t burst,273.9434796,1656.880679,2958.527968,daata,_,463.116248,1149.573916,2800.073367,,,,,,,,,,,,,,,,,,,,
