File,1-O1_closure,Normalized,1-O1_burst,Normalized,1-V1,Normalized,1-x1,Normalized,1-O2_closure,Normalized,1-O2_remainder,Normalized,1-V2,Normalized,1-x2,Normalized,2-O1_closure,Normalized,2-O1_burst,Normalized,2-V1,Normalized,2-x1,Normalized,2-O2_closure,Normalized,2-O2_remainder,Normalized,2-V2,Normalized,2-x2,Normalized
b_kax.TextGrid,closure,71.03825137,b burst,37.15846995,_,38.25136612,,0,closure,78.68852459,k burst,83.06010929,a,165.0273224,x,268.852459,closure,28.6259542,b burst,36.64122137,_,35.49618321,,0,closure,89.3129771,k burst,96.18320611,a,155.7251908,x,383.5877863
b_kax-2.TextGrid,closure,115.2968037,b burst,25.11415525,_,47.94520548,,0,,0,k burst,63.92694064,a,103.8812785,x,279.6803653,closure,30.73770492, b burst,47.95081967,_,36.8852459,,0,closure,68.85245902,k burst,100.8196721,a,154.9180328,x,110.6557377
b_kax-3.TextGrid,closure,101.842871,b burst,25.21823472,_,39.76721629,,0,closure,90.20368574,k burst,75.65470417,a,117.3617847,x,302.6188167,closure,28.27868852,b burst,25.81967213,_,30.73770492,,0,closure,82.37704918,k burst,90.98360656,a,180.7377049,x,181.9672131
b_kax-4.TextGrid,closure,107.0195627,b burst,31.07019563,_,39.12543153,,0,closure,117.3762946,k burst,63.29113924,a,182.9689298,x,287.6869965,closure,34.70149254,b burst,31.34328358,_,39.17910448,,0,closure,82.8358209,k burst,116.4179104,a,105.2238806,x,285.4477612
b_kax-5.TextGrid,closure,84.78038815,b burst,29.62206333,_,28.60061287,,0,closure,94.99489275,k burst,65.37282942,a,136.8743616,x,215.526047,closure,41.63265306,b burst,31.83673469,_,35.51020408,,0,closure,105.3061224,k burst,85.71428571,a,168.9795918,x,206.9387755
b_kax-6.TextGrid,closure,103.5242291,b burst,31.93832599,_,64.97797357,,0,closure,70.4845815,k burst,71.58590308,a,159.69163,x,368.9427313,closure,32.10332103,b burst,38.74538745,_,44.2804428,,0,closure,85.2398524,k burst,74.1697417,a,138.3763838,x,232.4723247
bi__x.TextGrid,closure,114.4024515,b burst,36.77221655,i,124.6169561,,0,,0,_,158.3248212,_,33.70786517,x,250.2553626,closure,73.84615385,b burst,35.76923077,i,125.7692308,,0,,0,_,208.8461538,_,41.53846154,x,213.4615385
bi__x-2.TextGrid,closure,132.5167038,b burst,35.63474388,i,119.1536748,,0,,0,_,204.8997773,_,44.54342984,x,374.1648107,closure,130.9090909,b burst,43.63636364,i,132.2727273,,0,,0,_,238.6363636,_,77.72727273,x,321.8181818
bi__x-3.TextGrid,closure,133.640553,b burst,36.86635945,i,114.0552995,,0,,0,_,171.6589862,_,46.08294931,x,304.1474654,closure,65.31365314,b burst,29.88929889,i,128.4132841,,0,,0,_,185.9778598,_,37.63837638,x,171.5867159
bi__x-4.TextGrid,closure,110.9852775,b burst,32.84258211,i,97.39524349,,0,,0,_,191.3929785,_,110.9852775,x,265.0056625,closure,58.27338129,b burst,25.89928058,i,64.74820144,,0,,0,_,201.7985612,_,90.64748201,x,211.5107914
bi__x-5.TextGrid,closure,121.8637993,b burst,41.81600956,i,88.41099164,,0,,0,_,210.2747909,_,83.63201912,x,277.1804062,closure,47.80876494,b burst,28.68525896,i,107.5697211,,0,,0,_,185.2589641,_,71.71314741,x,186.4541833
bi__x-6.TextGrid,closure,119.873817,b burst,34.70031546,i,95.68874869,,0,,0,_,179.8107256,_,67.29758149,x,310.1997897,closure,126.4285714,b burst,34.28571429,i,100.7142857,,0,,0,_,189.6428571,_,64.28571429,x,354.6428571
ca_c_.TextGrid,closure,153.5393819,k burst,182.4526421,a:,157.5274177,,0,closure,117.6470588,k burst,75.77268195,_,57.82652044,,0,closure,101.8450185,k burst,105.1660517,a,174.9077491,,0,closure,146.1254613,k burst,74.1697417,_,81.91881919,,0
ca_c_-2.TextGrid,closure,204.71597,k burst,131.8327974,a:,176.8488746,,0,closure,137.1918542,k burst,63.23687031,_,118.9710611,,0,closure,133.8028169, k burst,112.6760563,a,209.8591549,,0,closure,132.3943662,k burst,56.33802817,_,133.8028169,,0
ca_c_-3.TextGrid,closure,151.425762,k burst,121.927237,a:,155.3588987,,0,closure,107.1779744,k burst,59.98033432,_,129.7935103, ,0,closure,110,k burst,111.4285714,a,231.4285714,,0,closure,162.8571429,k burst,82.85714286,_,142.8571429,,0
cat_.TextGrid,closure,91.16809117,k burst,153.8461538,a,61.72839506,,0,closure,132.0037987,t burst,82.62108262,_,51.28205128,,0,closure,103.125,k burst,162.0535714,a,96.42857143,,0,closure,187.5,t burst,103.125,_,70.98214286,,0
cat_-2.TextGrid,closure,112.9666012,k burst,135.5599214,a,84.47937132,,0,closure,143.4184676,t burst,78.58546169,_,81.5324165,,0,closure,117.8571429,k burst,126.1904762,a,89.28571429,,0,closure,169.047619,t burst,80.95238095,_,121.4285714,,0
cat_-3.TextGrid,closure,123.7016053,k burst,156.7516525,a,94.42870633,,0,closure,123.7016053,t burst,47.21435316,_,121.8130312,,0,closure,98.88268156,k burst,127.3743017,a,167.5977654,,0,closure,187.7094972,t burst,78.77094972,_,172.6256983,,0
caxt_x.TextGrid,closure,85.61643836,k burst,110.7305936,a,77.62557078,x,92.46575342,,0,_,179.2237443,_,70.77625571,x,248.8584475,closure,36.84210526,k burst,103.1578947,a,74.73684211,x,65.26315789,,0,_,140,_,85.26315789,x,137.8947368
caxt_x-2.TextGrid,closure,122.4256293,k burst,65.2173913,a,107.5514874,x,125.8581236,,0,_,146.4530892,_,59.49656751,x,318.0778032,closure,125,k burst,139.0625,a,109.375,x,148.4375,closure,170.3125,t burst,46.875,_,78.125,x,196.875
caxt_x-3.TextGrid,closure,93.23770492,k burst,86.06557377,a,70.69672131,x,174.1803279,closure,40.98360656,t burst,34.83606557,,0,x,389.3442623,closure,88.0952381,k burst,85.71428571,a,89.28571429,x,132.1428571,closure,109.5238095,t burst,16.66666667,_,65.47619048,x,220.2380952
caxp_.TextGrid,closure,159.2920354,k burst,71.68141593,a,54.86725664,x,138.0530973,closure,96.46017699,p burst,33.62831858,_,78.76106195,,0,closure,76.01351351,k burst,87.16216216,a,67.90540541,x,108.4459459,closure,122.6351351,p burst,31.41891892,_,89.18918919,,0
caxp_-2.TextGrid,closure,128.8102262,k burst,106.1946903,a,76.69616519,x,165.1917404,closure,93.41199607,p burst,27.53195674,_,157.3254671,,0,closure,128.7671233,k burst,146.5753425,a,87.67123288,x,168.4931507,closure,95.89041096,p burst,94.52054795,_,176.7123288,,0
caxp_-3.TextGrid,closure,146.8879668,k burst,66.39004149,a,65.56016598,x,97.9253112,closure,92.11618257,p burst,25.72614108,_,106.2240664,,0,,0,k burst,171.9602978,a,49.13151365,x,66.99751861,closure,90.81885856,p burst,17.86600496,_,87.09677419,,0
caxt_.TextGrid,closure,114.7704591,k burst,101.7964072,a,66.86626747,x,142.7145709,closure,176.6467066,t burst,11.9760479,_,82.83433134,,0,closure,102.0618557,k burst,81.18556701,a,64.94845361,x,78.86597938,,0,_,109.7938144,_,121.3917526,,0
caxt_-2.TextGrid,closure,141.6566627,k burst,127.2509004,a,72.02881152,x,128.4513806,closure,166.8667467,t burst,25.21008403,_,152.4609844,,0,closure,158.8235294,k burst,145.9893048,a,120.3208556,x,141.1764706,closure,174.8663102,t burst,36.89839572,_,147.5935829,,0
caxt_-3.TextGrid,closure,109.9426386,k burst,97.51434034,a,65.96558317,x,131.9311663,,0,_,105.1625239,_,116.6347992,,0,closure,86.98224852,k burst,157.9881657,a,175.739645,x,150.887574,closure,181.0650888,p burst,46.15384615,_,177.5147929,,0
co_t_.TextGrid,closure,267.8899083,k burst,101.8348624,o:,122.9357798,,0,closure,100.9174312,t burst,77.06422018,_,88.99082569,,0,closure,83.04239401,k burst,148.1296758,o,94.26433915,,0,closure,92.01995012,t burst,29.92518703,_,98.75311721,,0
co_t_-2.TextGrid,closure,228.7179487,k burst,110.7692308,o:,143.5897436,,0,closure,141.5384615,_,54.35897436,_,128.2051282,,0,,0,,0,,0,,0,,0,,0,,0,,0
co_t_-3.TextGrid,closure,144.0162272,k burst,131.8458418,o:,141.9878296,,0,,0,_,197.7687627,_,150.1014199,,0,closure,57.60869565,k burst,104.3478261,o,166.3043478,,0,,0,_,156.5217391,_,146.7391304,,0
c_h_x.TextGrid,closure,45.28985507,k burst,110.5072464,_,56.15942029,,0,,0,h,109.6014493,_,60.6884058,x,371.3768116,closure,160.2564103,k burst,133.3333333,_,103.8461538,,0,,0,h,100,_,128.2051282,x,279.4871795
c_hax.TextGrid,closure,181.8181818,k burst,71.50153218,_,100.102145,,0,,0,h,82.73748723,_,74.56588355,x,297.2420838,closure,128,k burst,132,_,101.3333333,,0,,0,h,120,_,120,x,165.3333333
c_t_x.TextGrid,closure,135.5275895,k burst,91.96515005,_,38.72216844,,0,,0,_,134.5595353,_,79.3804453,x,248.7899322,closure,122.7906977,k burst,132.5581395,_,61.39534884,,0,,0,_,202.3255814,_,115.8139535,x,273.4883721
c_t_x-2.TextGrid,closure,157.1072319,k burst,91.43807149,_,82.29426434,,0,closure,101.4131338,t burst,14.13133832,_,50.70656692,x,279.3017456,closure,67.30038023,k burst,141.4448669,_,67.30038023,,0,closure,140.3041825,t burst,23.95437262,_,46.76806084,x,314.8288973
c_tax.TextGrid,closure,101.1363636,k burst,63.63636364,_,60.22727273,,0,closure,135.2272727,t burst,23.86363636,a,151.1363636,x,248.8636364,closure,113.5135135,k burst,120,_,32.43243243,,0,closure,191.3513514,t burst,40.54054054,a,240,x,214.0540541
c_tax-2.TextGrid,closure,200.1879699,k burst,87.40601504,_,31.95488722,,0,closure,120.3007519,t burst,26.31578947,a,106.2030075,x,257.518797,closure,114.7465438,k burst,116.1290323,_,26.26728111,,0,closure,138.2488479,t burst,45.62211982,a,147.9262673,x,252.9953917
co_co_.TextGrid,closure,136.8312757,k burst,72.01646091,o:,131.6872428,,0,closure,112.1399177,k burst,75.10288066,o:,144.0329218,,0,,0,x,188.9361702,o,144.2553191,,0,closure,98.29787234,k burst,89.36170213,o,213.1914894,,0
co_co_-2.TextGrid,closure,200,k burst,89.55223881,o:,125.3731343,,0,closure,117.4129353,k burst,57.71144279,o:,256.7164179,,0,closure,108.8028169,k burst,115.1408451,o,122.5352113,,0,closure,120.4225352,k burst,53.87323944,o,201.7605634,,0
co_co_-3.TextGrid,closure,140.0208986,k burst,89.86415883,o:,131.661442,,0,closure,79.41483804,k burst,76.2800418,o:,199.5820272,,0,closure,121.875,k burst,91.07142857,o,187.5,,0,closure,115.1785714,k burst,72.32142857,o,254.4642857,,0
c_p_.TextGrid,closure,158.4645669,k burst,74.80314961,_,74.80314961,,0,closure,125,p burst,27.55905512,_,167.3228346,,0,closure,141.6309013,k burst,131.3304721,_,59.22746781,,0,closure,150.6437768,p burst,27.03862661,_,171.2446352,,0
c_p_-2.TextGrid,closure,206.185567,k burst,89.69072165,_,50.51546392,,0,closure,137.1134021,p burst,31.95876289,_,152.5773196,,0,closure,138.961039,k burst,146.7532468,_,55.84415584,,0,closure,158.4415584,p burst,45.45454545,_,181.8181818,,0
c_p_-3.TextGrid,closure,123.4309623,k burst,91.0041841,_,53.34728033,,0,closure,143.3054393,p burst,13.59832636,_,178.8702929,,0,closure,98.8372093,k burst,81.39534884,_,84.88372093,,0,closure,152.3255814,p burst,23.25581395,_,150,,0
da_t_.TextGrid,closure,121.8985976,d burst,14.02373247,a:,235.167206,,0,closure,139.1585761,t burst,55.01618123,_,145.631068,,0,closure,105.2631579,d burst,13.15789474,a,257.8947368,,0,closure,175,t burst,50,_,57.89473684,,0
da_t_-2.TextGrid,closure,93.0460333,d burst,9.794319295,a:,210.5778648,,0,closure,133.2027424,t burst,39.17727718,_,99.90205681,,0,closure,167.1875,d burst,20.3125,a,320.3125,,0,closure,192.1875,t burst,64.0625,_,118.75,,0
da_t_-3.TextGrid,closure,76.84824903,d burst,10.70038911,a:,189.688716,,0,closure,127.4319066,t burst,39.88326848,_,135.2140078,,0,closure,76.05633803,d burst,15.84507042,a,197.5352113,,0,closure,140.4929577,t burst,32.74647887,_,107.7464789,,0
da_ti_.TextGrid,closure,83.83838384,d burst,13.13131313,a:,215.1515152,,0,closure,147.4747475,t burst,45.45454545,i:,274.7474747,,0,closure,33.19672131,d burst,35.6557377,a,173.3606557,,0,closure,129.0983607,t burst,59.01639344,i,300,,0
da_ti_-2.TextGrid,,0,d burst,14.28571429,a:,217.8571429,,0,,0,_,160.7142857,i:,332.1428571,,0,,0,d burst,20.93023256,a,143.0232558,,0,,0,_,126.4534884,i,224.127907,,0
da_ti_-3.TextGrid,closure,110.8033241,d burst,12.92705448,a:,164.3582641,,0,,0,_,168.0517082,i:,277.0083102,,0,closure,187.8504673,d burst,26.63551402,a,218.6915888,,0,closure,211.682243,t burst,61.68224299,i,412.1495327,,0
das_x.TextGrid,closure,124.5972073,d burst,19.33404941,¾,148.2277121,,0,,0,s,180.4511278,_,59.07626208,x,234.1568206,closure,57.24381625,d burst,20.14134276,¾,144.1696113,,0,,0,s,192.9328622,_,48.76325088,x,221.5547703
das_x-2.TextGrid,closure,114.1242938,d burst,18.07909605,¾,127.6836158,,0,,0,s,202.259887,_,55.36723164,x,272.3163842,closure,167.1428571,d burst,44.28571429,¾,185.7142857,,0,,0,s,258.5714286,_,75.71428571,x,290
datu_.TextGrid,closure,79.85143918,d burst,17.64159703,¾,139.275766,_,93.77901578,closure,92.85051068,t burst,64.99535747,u:,259.9814299,,0,closure,60.48387097,d burst,26.61290323,¾,158.4677419,,0,,0,_,266.1290323,u,296.3709677,,0
datu_-2.TextGrid,closure,87.16475096,d burst,17.24137931,¾,155.1724138,,0,,0,_,186.7816092,u:,261.4942529,,0,closure,56.18374558,d burst,28.62190813,¾,175.9717314,,0,,0,_,186.5724382,u,206.7137809,,0
datu_-3.TextGrid,closure,86.50519031,d burst,25.37485582,¾,164.9365629,,0,,0,_,228.3737024,u:,268.7427912,,0,closure,60.6741573,d burst,25.84269663,¾,174.1573034,,0,closure,165.1685393,t burst,64.04494382,u,219.1011236,,0
